Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6710390,-,-,-,-18.18,-65.39,0,2772,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2022,1,1,0,0,13.9,1.28,0.058,0.61,0,0,0,0,8,12.5,0,0,0,0,0.252,91,103.34,0.92,0.18,722,1.5,57,0.7000000000000001
2022,1,1,1,0,13.9,1.28,0.059000000000000004,0.61,0,0,0,0,3,11.8,0,0,0,0,0.251,87.05,115.2,0.92,0.18,723,1.4000000000000001,62,0.30000000000000004
2022,1,1,2,0,13.3,1.28,0.061,0.61,0,0,0,0,8,11.4,0,0,0,0,0.251,88.44,125.7,0.93,0.18,723,1.4000000000000001,236,0.4
2022,1,1,3,0,12.200000000000001,1.28,0.063,0.61,0,0,0,0,1,11.100000000000001,0,0,0,0,0.252,92.72,133.88,0.93,0.18,722,1.3,250,0.7000000000000001
2022,1,1,4,0,11.3,1.28,0.067,0.61,0,0,0,0,1,10.700000000000001,0,0,0,0,0.253,95.83,138.37,0.9400000000000001,0.18,722,1.3,255,0.9
2022,1,1,5,0,10.5,1.28,0.068,0.61,0,0,0,0,8,10.200000000000001,0,0,0,0,0.253,98.29,137.94,0.9400000000000001,0.18,721,1.3,256,1
2022,1,1,6,0,9.8,1.3,0.065,0.61,0,0,0,0,1,9.8,0,0,0,0,0.253,100,132.73,0.9400000000000001,0.18,721,1.2000000000000002,259,1
2022,1,1,7,0,9.200000000000001,1.31,0.062,0.61,0,0,0,0,7,9.200000000000001,0,0,0,0,0.253,100,124.07000000000001,0.9400000000000001,0.18,721,1.2000000000000002,265,1.1
2022,1,1,8,0,8.6,1.31,0.059000000000000004,0.61,0,0,0,0,8,8.6,0,0,0,0,0.254,100,113.29,0.9400000000000001,0.18,721,1.2000000000000002,272,1.1
2022,1,1,9,0,8,1.32,0.057,0.61,0,0,0,0,3,8,0,0,0,0,0.254,100,101.26,0.93,0.18,721,1.2000000000000002,277,1.1
2022,1,1,10,0,10.3,1.32,0.054,0.61,14,207,21,7,7,9.600000000000001,14,1,7,14,0.254,95.7,88.26,0.93,0.18,722,1.2000000000000002,281,1.4000000000000001
2022,1,1,11,0,13.700000000000001,1.33,0.051000000000000004,0.61,50,745,240,0,0,10.4,50,745,0,240,0.255,80.54,75.21000000000001,0.93,0.18,722,1.2000000000000002,289,2.3000000000000003
2022,1,1,12,0,17.900000000000002,1.33,0.048,0.61,66,925,505,0,0,10.100000000000001,66,925,0,505,0.256,60.4,61.7,0.93,0.18,722,1.1,295,2
2022,1,1,13,0,20.8,1.34,0.045,0.61,75,1009,751,0,0,9.5,75,1009,0,751,0.256,48.22,48,0.93,0.18,722,1.1,310,1.7000000000000002
2022,1,1,14,0,22.700000000000003,1.35,0.043000000000000003,0.61,81,1051,950,0,0,9.3,81,1051,0,950,0.256,42.52,34.21,0.93,0.18,721,1.2000000000000002,335,1.6
2022,1,1,15,0,24,1.3800000000000001,0.037,0.61,82,1080,1093,0,0,9.4,82,1080,0,1093,0.256,39.59,20.47,0.93,0.18,721,1.2000000000000002,4,1.9000000000000001
2022,1,1,16,0,24.8,1.3900000000000001,0.036000000000000004,0.61,83,1091,1164,0,0,9.600000000000001,83,1091,0,1164,0.256,38.27,7.59,0.9400000000000001,0.18,720,1.2000000000000002,22,2.4000000000000004
2022,1,1,17,0,25.1,1.3900000000000001,0.036000000000000004,0.61,83,1087,1155,0,0,9.9,83,1087,0,1155,0.257,38.21,9.44,0.9400000000000001,0.18,719,1.3,29,2.9000000000000004
2022,1,1,18,0,24.8,1.3800000000000001,0.037,0.61,81,1074,1072,0,0,10.200000000000001,81,1074,0,1072,0.257,39.68,22.66,0.9400000000000001,0.18,719,1.3,32,3.5
2022,1,1,19,0,24,1.36,0.04,0.61,79,1039,914,0,0,10.600000000000001,79,1039,0,914,0.258,42.77,36.43,0.9500000000000001,0.18,718,1.5,30,3.8000000000000003
2022,1,1,20,0,22.6,1.3,0.047,0.61,75,980,702,0,8,11,203,717,0,661,0.259,47.84,50.21,0.96,0.18,718,1.6,27,3.7
2022,1,1,21,0,20.6,1.23,0.056,0.61,67,870,450,0,6,12,10,0,0,10,0.26,57.660000000000004,63.89,0.96,0.18,718,1.8,27,3.2
2022,1,1,22,0,17.7,1.21,0.063,0.61,49,649,191,0,8,13.9,118,202,0,162,0.261,78.60000000000001,77.36,0.97,0.18,719,1.9000000000000001,30,1.9000000000000001
2022,1,1,23,0,15.5,1.24,0.061,0.61,0,0,0,0,8,14.4,0,0,0,0,0.262,93.47,90.19,0.97,0.18,720,1.9000000000000001,19,1.4000000000000001
2022,1,2,0,0,14.700000000000001,1.29,0.055,0.61,0,0,0,0,1,14.4,0,0,0,0,0.264,98.28,103.28,0.97,0.2,720,1.8,2,1.5
2022,1,2,1,0,14.200000000000001,1.32,0.051000000000000004,0.61,0,0,0,0,1,14.100000000000001,0,0,0,0,0.264,99.15,115.16,0.97,0.2,720,1.8,351,1.5
2022,1,2,2,0,13.700000000000001,1.33,0.049,0.61,0,0,0,0,1,13.700000000000001,0,0,0,0,0.265,100,125.68,0.97,0.2,720,1.7000000000000002,339,1.4000000000000001
2022,1,2,3,0,13,1.33,0.05,0.61,0,0,0,0,1,13,0,0,0,0,0.265,100,133.91,0.97,0.2,720,1.7000000000000002,329,1.4000000000000001
2022,1,2,4,0,12.4,1.32,0.053,0.61,0,0,0,0,3,12.4,0,0,0,0,0.264,100,138.43,0.97,0.2,719,1.7000000000000002,319,1.3
2022,1,2,5,0,12,1.31,0.057,0.61,0,0,0,0,1,12,0,0,0,0,0.264,100,138.05,0.97,0.2,719,1.8,310,1.2000000000000002
2022,1,2,6,0,11.5,1.3,0.06,0.61,0,0,0,0,1,11.5,0,0,0,0,0.263,100,132.86,0.97,0.2,719,1.8,303,1.2000000000000002
2022,1,2,7,0,11.100000000000001,1.3,0.063,0.61,0,0,0,0,1,11.100000000000001,0,0,0,0,0.262,100,124.21000000000001,0.97,0.2,719,1.8,301,1.2000000000000002
2022,1,2,8,0,10.600000000000001,1.3,0.067,0.61,0,0,0,0,1,10.600000000000001,0,0,0,0,0.261,100,113.43,0.97,0.2,719,1.8,299,1.2000000000000002
2022,1,2,9,0,10.100000000000001,1.29,0.07,0.61,0,0,0,0,1,10,0,0,0,0,0.261,99.57000000000001,101.4,0.97,0.2,719,1.7000000000000002,297,1.3
2022,1,2,10,0,11.9,1.28,0.073,0.61,14,150,19,7,3,10.3,9,0,7,9,0.26,90.01,88.39,0.97,0.2,720,1.6,297,1.8
2022,1,2,11,0,15.100000000000001,1.28,0.074,0.61,56,685,230,0,0,9.5,56,685,0,230,0.259,69.39,75.34,0.97,0.2,720,1.6,291,2.7
2022,1,2,12,0,18.7,1.29,0.07200000000000001,0.61,77,877,491,0,0,8.700000000000001,77,877,0,491,0.258,52.19,61.82,0.97,0.2,721,1.5,284,2.2
2022,1,2,13,0,21.3,1.32,0.069,0.61,89,968,735,0,0,8.8,89,968,0,735,0.258,44.730000000000004,48.120000000000005,0.97,0.2,721,1.5,314,1.9000000000000001
2022,1,2,14,0,22.900000000000002,1.35,0.064,0.61,94,1018,935,0,0,9.5,94,1018,0,935,0.257,42.58,34.32,0.97,0.2,721,1.6,359,2.1
2022,1,2,15,0,23.8,1.3800000000000001,0.049,0.61,91,1056,1080,0,0,10.200000000000001,91,1056,0,1080,0.257,42.36,20.57,0.97,0.2,721,1.6,33,2.5
2022,1,2,16,0,24,1.3800000000000001,0.049,0.61,93,1064,1148,0,0,10.9,93,1064,0,1148,0.257,43.62,7.62,0.97,0.2,720,1.7000000000000002,51,3
