ID;Date;4[°C];
37;11/2/2025 13:30:00;32.3;
38;11/2/2025 13:31:00;32.4;
39;11/2/2025 13:32:00;32.4;
40;11/2/2025 13:33:00;32.5;
41;11/2/2025 13:34:00;32.6;
42;11/2/2025 13:35:00;32.7;
43;11/2/2025 13:36:00;32.7;
44;11/2/2025 13:37:00;32.7;
45;11/2/2025 13:38:00;32.6;
46;11/2/2025 13:39:00;32.6;
47;11/2/2025 13:40:00;32.7;
48;11/2/2025 13:41:00;32.7;
49;11/2/2025 13:42:00;32.7;
50;11/2/2025 13:43:00;32.8;
51;11/2/2025 13:44:00;32.8;
52;11/2/2025 13:45:00;32.8;
53;11/2/2025 13:46:00;32.8;
54;11/2/2025 13:47:00;32.8;
55;11/2/2025 13:48:00;32.8;
56;11/2/2025 13:49:00;32.7;
57;11/2/2025 13:50:00;32.7;
58;11/2/2025 13:51:00;32.5;
59;11/2/2025 13:52:00;32.4;
60;11/2/2025 13:53:00;32.3;
61;11/2/2025 13:54:00;32.2;
62;11/2/2025 13:55:00;32.2;
63;11/2/2025 13:56:00;32.2;
64;11/2/2025 13:57:00;32.2;
65;11/2/2025 13:58:00;32.2;
66;11/2/2025 13:59:00;32.2;
67;11/2/2025 14:00:00;32.3;
68;11/2/2025 14:01:00;32.4;
69;11/2/2025 14:02:00;32.4;
70;11/2/2025 14:03:00;32.4;
71;11/2/2025 14:04:00;32.4;
72;11/2/2025 14:05:00;32.3;
73;11/2/2025 14:06:00;32.3;
74;11/2/2025 14:07:00;32.3;
75;11/2/2025 14:08:00;32.3;
76;11/2/2025 14:09:00;32.4;
77;11/2/2025 14:10:00;32.4;
78;11/2/2025 14:11:00;32.4;
79;11/2/2025 14:12:00;32.5;
80;11/2/2025 14:13:00;32.5;
81;11/2/2025 14:14:00;32.5;
82;11/2/2025 14:15:00;32.5;
83;11/2/2025 14:16:00;32.6;
84;11/2/2025 14:17:00;32.7;
85;11/2/2025 14:18:00;32.8;
86;11/2/2025 14:19:00;32.8;
87;11/2/2025 14:20:00;32.9;
88;11/2/2025 14:21:00;32.9;
89;11/2/2025 14:22:00;32.8;
90;11/2/2025 14:23:00;32.8;
91;11/2/2025 14:24:00;32.7;
92;11/2/2025 14:25:00;32.7;
93;11/2/2025 14:26:00;32.6;
94;11/2/2025 14:27:00;32.4;
95;11/2/2025 14:28:00;32.3;
96;11/2/2025 14:29:00;32.3;
97;11/2/2025 14:30:00;32.3;
98;11/2/2025 14:31:00;32.4;
99;11/2/2025 14:32:00;32.5;
100;11/2/2025 14:33:00;32.5;
101;11/2/2025 14:34:00;32.5;
102;11/2/2025 14:35:00;32.5;
103;11/2/2025 14:36:00;32.5;
104;11/2/2025 14:37:00;32.4;
105;11/2/2025 14:38:00;32.3;
106;11/2/2025 14:39:00;32.2;
107;11/2/2025 14:40:00;32.1;
108;11/2/2025 14:41:00;32.1;
109;11/2/2025 14:42:00;32.1;
110;11/2/2025 14:43:00;32;
111;11/2/2025 14:44:00;31.7;
112;11/2/2025 14:45:00;31.5;
113;11/2/2025 14:46:00;31.3;
114;11/2/2025 14:47:00;31.3;
115;11/2/2025 14:48:00;31.2;
116;11/2/2025 14:49:00;31.1;
117;11/2/2025 14:50:00;31.1;
118;11/2/2025 14:51:00;31.1;
119;11/2/2025 14:52:00;31.2;
120;11/2/2025 14:53:00;31.3;
121;11/2/2025 14:54:00;31.4;
122;11/2/2025 14:55:00;31.4;
123;11/2/2025 14:56:00;31.4;
124;11/2/2025 14:57:00;31.4;
125;11/2/2025 14:58:00;31.4;
126;11/2/2025 14:59:00;31.4;
127;11/2/2025 15:00:00;31.4;
128;11/2/2025 15:01:00;31.5;
129;11/2/2025 15:02:00;31.6;
130;11/2/2025 15:03:00;31.7;
131;11/2/2025 15:04:00;31.7;
132;11/2/2025 15:05:00;31.8;
133;11/2/2025 15:06:00;31.8;
134;11/2/2025 15:07:00;31.8;
135;11/2/2025 15:08:00;31.8;
136;11/2/2025 15:09:00;31.9;
137;11/2/2025 15:10:00;31.9;
138;11/2/2025 15:11:00;32;
139;11/2/2025 15:12:00;32.1;
140;11/2/2025 15:13:00;32.2;
141;11/2/2025 15:14:00;32.3;
142;11/2/2025 15:15:00;32.4;
143;11/2/2025 15:16:00;32.4;
144;11/2/2025 15:17:00;32.5;
145;11/2/2025 15:18:00;32.6;
146;11/2/2025 15:19:00;32.7;
147;11/2/2025 15:20:00;32.8;
148;11/2/2025 15:21:00;32.8;
149;11/2/2025 15:22:00;32.9;
150;11/2/2025 15:23:00;33;
151;11/2/2025 15:24:00;33.1;
152;11/2/2025 15:25:00;33.2;
153;11/2/2025 15:26:00;33.2;
154;11/2/2025 15:27:00;33.2;
155;11/2/2025 15:28:00;33.1;
156;11/2/2025 15:29:00;33.1;
157;11/2/2025 15:30:00;32.9;
158;11/2/2025 15:31:00;32.7;
159;11/2/2025 15:32:00;32.4;
160;11/2/2025 15:33:00;32.3;
161;11/2/2025 15:34:00;32.2;
162;11/2/2025 15:35:00;32.1;
163;11/2/2025 15:36:00;32;
164;11/2/2025 15:37:00;31.8;
