Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6534556,-,-,-,-17.46,-66.33,-4,2526,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,Wind Speed,Pressure,DHI,GHI,DNI,Solar Zenith Angle,Precipitable Water,Fill Flag
2025,1,1,0,0,15.600000000000001,66.36,0.6000000000000001,761,0,0,0,138.92000000000002,2.4000000000000004,0
2025,1,1,1,0,15.5,66.18,0.6000000000000001,761,0,0,0,138.8,2.4000000000000004,0
2025,1,1,2,0,15.3,66.37,0.5,760,0,0,0,133.77,2.4000000000000004,0
2025,1,1,3,0,14.8,67.69,0.5,760,0,0,0,125.18,2.4000000000000004,0
2025,1,1,4,0,14.4,68.67,0.5,760,0,0,0,114.4,2.4000000000000004,0
2025,1,1,5,0,14.4,68.22,0.4,761,0,0,0,102.36,2.4000000000000004,0
2025,1,1,6,0,15.100000000000001,66.29,0.4,761,0,0,0,89.25,2.3000000000000003,7
2025,1,1,7,0,17.7,55.57,0.9,761,114,116,6,76.26,2.3000000000000003,0
2025,1,1,8,0,20.900000000000002,42.49,1.3,761,212,217,12,62.74,2.2,0
2025,1,1,9,0,23.700000000000003,34,2.1,761,396,493,148,49.03,2.2,0
2025,1,1,10,0,25.8,29.46,2.9000000000000004,761,83,910,1013,35.24,2.2,0
2025,1,1,11,0,27.6,26.21,3.5,760,80,1052,1045,21.52,2.3000000000000003,0
2025,1,1,12,0,28.5,24.8,3.8000000000000003,760,82,1124,1054,8.73,2.4000000000000004,0
2025,1,1,13,0,28.8,24.57,4.1000000000000005,759,358,918,567,9.16,2.5,0
2025,1,1,14,0,28.5,25.41,4.2,758,97,1040,1018,22.05,2.5,0
2025,1,1,15,0,27.1,28.810000000000002,4.3,758,334,721,476,35.77,2.6,0
2025,1,1,16,0,25.400000000000002,33.69,4.1000000000000005,758,313,486,267,49.57,2.7,0
2025,1,1,17,0,23.5,40.160000000000004,3.7,758,229,291,138,63.27,2.8000000000000003,0
2025,1,1,18,0,21.900000000000002,48.22,2.6,758,75,77,9,76.79,2.9000000000000004,0
2025,1,1,19,0,20.1,60.19,1.5,759,0,0,0,89.73,2.8000000000000003,7
2025,1,1,20,0,19.3,65.06,1.3,759,0,0,0,102.87,2.8000000000000003,0
2025,1,1,21,0,18.6,68.48,1.2000000000000002,760,0,0,0,114.88,2.8000000000000003,0
2025,1,1,22,0,18,70.94,1,760,0,0,0,125.61,2.8000000000000003,0
2025,1,1,23,0,17.5,72.45,1,760,0,0,0,134.11,2.8000000000000003,0
2025,1,2,0,0,17.2,73.08,0.9,760,0,0,0,138.98,2.8000000000000003,0
2025,1,2,1,0,17.1,72.61,0.9,759,0,0,0,138.9,2.9000000000000004,0
2025,1,2,2,0,17,73.32000000000001,0.8,759,0,0,0,133.9,2.9000000000000004,0
2025,1,2,3,0,16.8,74.39,0.7000000000000001,759,0,0,0,125.31,2.9000000000000004,0
2025,1,2,4,0,16.7,76.21000000000001,0.6000000000000001,760,0,0,0,114.54,3,0
2025,1,2,5,0,16.5,77.57000000000001,0.6000000000000001,760,0,0,0,102.5,3,0
2025,1,2,6,0,16.8,75.58,1.1,760,0,0,0,89.37,3,7
2025,1,2,7,0,17.5,70.98,2,761,45,45,1,76.39,3.1,0
2025,1,2,8,0,18.5,64.93,2.6,761,155,160,12,62.86,3,0
2025,1,2,9,0,19.8,56.71,3.4000000000000004,761,305,341,55,49.14,3,0
2025,1,2,10,0,20.900000000000002,49.32,4.1000000000000005,761,102,102,0,35.34,2.9000000000000004,0
2025,1,2,11,0,21.900000000000002,43.67,4.3,760,346,354,8,21.61,2.8000000000000003,0
2025,1,2,12,0,23.200000000000003,38.74,4.2,760,474,648,176,8.76,2.7,0
2025,1,2,13,0,24.1,35.910000000000004,4.1000000000000005,759,513,604,92,9.02,2.7,0
2025,1,2,14,0,24.200000000000003,35.67,4,759,214,215,1,21.93,2.7,0
2025,1,2,15,0,23.8,36.62,3.8000000000000003,758,217,219,2,35.660000000000004,2.8000000000000003,0
2025,1,2,16,0,23,38.84,3.7,758,210,213,6,49.46,2.8000000000000003,0
2025,1,2,17,0,21.700000000000003,43.25,3.4000000000000004,758,171,179,18,63.18,2.9000000000000004,0
2025,1,2,18,0,20,52.370000000000005,2.2,758,28,28,0,76.71000000000001,2.9000000000000004,0
2025,1,2,19,0,18.400000000000002,64.27,1.3,759,0,0,0,89.66,2.9000000000000004,7
2025,1,2,20,0,18.1,68.75,1,759,0,0,0,102.81,2.9000000000000004,0
2025,1,2,21,0,18.1,68.63,0.8,759,0,0,0,114.85000000000001,3,0
2025,1,2,22,0,17.6,70.99,0.8,759,0,0,0,125.59,3,0
2025,1,2,23,0,17,72.05,1,759,0,0,0,134.13,3,0
2025,1,3,0,0,16.6,72.53,1,758,0,0,0,139.05,3,0
2025,1,3,1,0,16.7,72.11,1.1,757,0,0,0,139.01,3,0
2025,1,3,2,0,16.900000000000002,71.92,1.1,757,0,0,0,134.03,3.1,0
2025,1,3,3,0,17,71.48,1,757,0,0,0,125.45,3.1,0
2025,1,3,4,0,16.8,72.28,1,757,0,0,0,114.68,3.1,0
2025,1,3,5,0,16.3,74.4,0.9,757,0,0,0,102.63,3.1,0
2025,1,3,6,0,16.400000000000002,72.73,0.8,758,0,0,0,89.49,3.1,7
2025,1,3,7,0,17.3,63.88,1.5,759,60,60,2,76.51,3.1,0
2025,1,3,8,0,18.5,56.6,1.7000000000000002,759,102,103,2,62.980000000000004,3,0
2025,1,3,9,0,19,52.34,0.8,760,317,503,284,49.25,2.9000000000000004,0
2025,1,3,10,0,18.900000000000002,51.28,0.4,760,73,896,1009,35.45,2.9000000000000004,0
2025,1,3,11,0,18.7,52.1,0.5,760,336,843,546,21.7,2.9000000000000004,0
2025,1,3,12,0,18.900000000000002,51.57,1,760,318,943,633,8.790000000000001,2.9000000000000004,0
2025,1,3,13,0,19.6,48.92,2.4000000000000004,759,409,871,467,8.870000000000001,2.8000000000000003,0
2025,1,3,14,0,20.400000000000002,46.050000000000004,3,758,440,460,22,21.81,2.7,0
2025,1,3,15,0,21.200000000000003,43.28,3.5,757,354,374,24,35.550000000000004,2.6,0
2025,1,3,16,0,22.1,40.980000000000004,3.9000000000000004,757,274,546,418,49.36,2.6,0
2025,1,3,17,0,21.8,41.85,3.8000000000000003,756,109,428,705,63.09,2.5,0
2025,1,3,18,0,19.8,51.01,2.2,756,102,177,322,76.63,2.3000000000000003,0
2025,1,3,19,0,17.7,64.2,1.2000000000000002,757,0,0,0,89.60000000000001,2.3000000000000003,7
2025,1,3,20,0,17.400000000000002,65.87,1,757,0,0,0,102.76,2.3000000000000003,0
2025,1,3,21,0,17,66.42,0.9,758,0,0,0,114.81,2.4000000000000004,0
2025,1,3,22,0,16.400000000000002,68.36,0.9,759,0,0,0,125.59,2.4000000000000004,0
2025,1,3,23,0,15.8,70.4,1,759,0,0,0,134.16,2.4000000000000004,0
2025,1,4,0,0,15.200000000000001,71.74,0.9,758,0,0,0,139.13,2.4000000000000004,0
2025,1,4,1,0,14.8,71.42,1,758,0,0,0,139.13,2.4000000000000004,0
2025,1,4,2,0,14.5,71.32000000000001,1,758,0,0,0,134.17000000000002,2.4000000000000004,0
2025,1,4,3,0,14.200000000000001,71.35000000000001,1,758,0,0,0,125.60000000000001,2.4000000000000004,0
2025,1,4,4,0,14.3,69.67,0.9,758,0,0,0,114.82000000000001,2.3000000000000003,0
2025,1,4,5,0,14.600000000000001,68.11,0.8,758,0,0,0,102.77,2.4000000000000004,0
2025,1,4,6,0,15.8,67.4,0.6000000000000001,759,0,0,0,89.61,2.4000000000000004,7
2025,1,4,7,0,18.6,54.81,0.9,760,88,91,11,76.64,2.5,0
2025,1,4,8,0,21.200000000000003,46.45,1.2000000000000002,760,126,128,4,63.1,2.5,0
