name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
suticollo,2025-02-11T13:00:00,77,77,51.8,41.45,0,0,,0,0,15.2,4.7,200,1022,50,6.2,834,3,8,10,Partially cloudy,partly-cloudy-day,"85223099999,F9120,SLCB"
suticollo,2025-02-11T14:00:00,78.7,78.7,44.5,29.81,0,0,,0,0,17.7,5.8,210,1020,50,6.2,821,3,8,10,Partially cloudy,partly-cloudy-day,"F9120,SLCB"
suticollo,2025-02-11T15:00:00,80.5,79.4,44.5,28.1,0.004,100,rain,0,0,18.1,5.8,260,1019,50,6.2,697,2.5,7,10,"Rain, Partially cloudy",rain,"F9120,SLCB"
suticollo,2025-02-11T16:00:00,80.6,80.1,51.8,36.82,0,0,,0,0,18.6,8.1,220,1017,50,6.2,388,1.4,4,10,Partially cloudy,partly-cloudy-day,"85223099999,F9120,SLCB"
suticollo,2025-02-11T17:00:00,80.6,79.9,50,34.45,0,0,,0,0,16.3,4.7,170,1017,50,6.2,235,0.8,2,10,Partially cloudy,partly-cloudy-day,"85223099999,F9120,SLCB"
suticollo,2025-02-11T18:00:00,77,77,46.4,33.88,0,0,,0,0,15.4,5.8,160,1016,89,6.2,99,0.4,1,10,Partially cloudy,partly-cloudy-day,"85223099999,F9120,SLCB"
suticollo,2025-02-11T19:00:00,75.2,75.2,48.2,38.49,0,0,,0,0,12.8,5.8,130,1017,89,6.2,35,0.1,0,10,Partially cloudy,partly-cloudy-day,"85223099999,F9120,SLCB"
suticollo,2025-02-11T20:00:00,71.4,71.4,46.7,41.26,0,0,,0,0,10.7,11.4,150,1019,89,7.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-11T21:00:00,68,68,48.2,49.13,0,0,,0,0,11.4,6.9,140,1020,50,6.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-11T22:00:00,66.2,66.2,50,55.91,0,0,,0,0,10.5,9.2,150,1021,50,6.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-11T23:00:00,65.8,65.8,50,56.6,0,0,,0,0,9.6,10.3,170,1022,50,7.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-12T00:00:00,64.4,64.4,50,59.52,0,0,,0,0,8.7,8.1,140,1023,89,6.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-12T01:00:00,62.6,62.6,50,63.4,0,0,,0,0,8.7,13.9,140,1023,89,6.2,0,0,0,3,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-12T02:00:00,62.9,62.9,46.5,55.07,0,0,,0,0,7.2,9.2,130,1023,89,7.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-12T03:00:00,60.8,60.8,50,67.56,0,0,,0,0,6.7,3.4,360,1022,89,6.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-12T04:00:00,60.8,60.8,46.4,59.04,0,0,,0,0,10.1,6.9,130,1022,89,6.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-12T05:00:00,59.1,59.1,48.2,67.14,0,0,,0,0,9.2,3.4,130,1023,89,7.7,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-12T06:00:00,59,59,50,72.03,0,0,,0,0,8.3,3.4,140,1024,89,6.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"85223099999,F9120,SLCB"
suticollo,2025-02-12T07:00:00,57.2,57.2,53.6,87.75,0,0,,0,0,10.1,3.4,330,1024,89,6.2,48,0.2,0,10,Partially cloudy,partly-cloudy-day,"85223099999,F9120,SLCB"
suticollo,2025-02-12T08:00:00,64.5,64.5,50.1,59.54,0,0,,0,0,11.6,3.4,50,1025,89,7.7,306,1.1,3,10,Partially cloudy,partly-cloudy-day,"85223099999,F9120,SLCB"
